Endpoint,URL,Params,Time,Method,Response
Deal Count Badge,/api/haggles,['status=INTERESTED'/ 'status=ACCEPTED'/ 'from=1364184060'/ 'to=1364270340'],25/Mar/2013:06:26:12,GET,200
Refresh/Home Screen,/api/vendors/search,['lat=12.933170'/ 'lon=77.623553'/ 'category='/ 'time=06:41'/ 'radius='/ 'party_size=2'],25/Mar/2013:06:26:12,GET,200
Settings/Data Request Screen,/api/users/me/networks,None,25/Mar/2013:06:37:46,GET,200
Settings/Data Request Screen,/api/users/me/networks,None,25/Mar/2013:06:42:29,GET,200
Settings/Data Request Screen,/api/users/me/networks,None,25/Mar/2013:06:43:56,GET,200
Deal Count Badge,/api/haggles,['status=INTERESTED'/ 'status=ACCEPTED'/ 'from=1364184060'/ 'to=1364270340'],25/Mar/2013:06:48:15,GET,200
Refresh/Home Screen,/api/vendors/search,['lat=12.933172'/ 'lon=77.623519'/ 'category='/ 'time=07:03'/ 'radius='/ 'party_size=2'],25/Mar/2013:06:48:16,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:48:07,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:48:11,GET,200
Score Info,/api/users/me/scores/info,['score_type=3'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:48:17,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:48:21,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:55:29,GET,200
Score Info,/api/users/me/scores/info,['score_type=3'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:55:36,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:55:39,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:55:47,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:55:52,GET,200
Score Info,/api/users/me/scores/info,['score_type=3'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:55:59,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:36,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:40,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:43,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:46,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:49,GET,200
Score Info,/api/users/me/scores/info,['score_type=3'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:52,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:56,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:56:58,GET,200
Score Info,/api/users/me/scores/info,['score_type=3'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:57:01,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:57:05,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:08:57:09,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=145875'/ 'party_size=2'],25/Mar/2013:08:57:19,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=159615'/ 'party_size=2'],25/Mar/2013:08:57:28,GET,200
Deal Count Badge,/api/haggles,['status=INTERESTED'/ 'status=ACCEPTED'/ 'from=1364184060'/ 'to=1364270340'],25/Mar/2013:08:57:34,GET,200
Deal Count Badge,/api/haggles,['status=INTERESTED'/ 'status=ACCEPTED'/ 'from=1364184060'/ 'to=1364270340'],25/Mar/2013:08:57:36,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=97990'/ 'party_size=2'],25/Mar/2013:08:57:37,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=162183'/ 'party_size=2'],25/Mar/2013:08:57:46,GET,200
Time Button/,/api/vendors/search,['lat=12.933243'/ 'lon=77.623521'/ 'category='/ 'time=09:13'/ 'radius='/ 'party_size=2'/ 'next=False:CpMECokBCnwA_z--loBSTORl7P_-9whJWLf__yKCjIGXnpiYk5rSj42Qm_8AdG2goJmLjKCg_wBdno-PmpGYlpGa_wBzdG2WkZuah_8AXYmakZuQjaCMmp6NnJeglpGbmof_AHN0bZuQnKCWm_8AXc7Iy8_LzP8Ac3_OyMvPy8z_AP_-EAohZDNs3zvUke0SDURvY3VtZW50SW5kZXgaygEoQU5EIChJUyAiY3VzdG9tZXJfbmFtZSIgImFwcGVuZ2luZSIpIChJUyAiZ3JvdXBfbmFtZSIgInN-aGFnZ2xlLXByb2QiKSAoSVMgIm5hbWVzcGFjZSIgIiIpIChJUyAiaW5kZXhfbmFtZSIgInZlbmRvcl9zZWFyY2hfaW5kZXgiKSAoQU5EIChRVFAgIjBfOS41IiAicnRleHRfb3Blbl9ob3VycyIpIChJUyAicmF0b21fcmVnaXN0ZXJlZCIgInRydWUiKSkpOnAKYyhBREQgKEdFT19ESVNUIChMIHNnZW9fbG9jYXRpb24pIChMT0MgMTIuOTMzMjQzIDc3LjYyMzUyMSkpIChNVUwgKFNVQiAzIChOIHNuYnJfdXNlcl9yYXRpbmcpKSAyNTApKRAAGQAAAAAAAAAAShwIAToVc3Q6YnRpX2dlbmVyaWNfc2NvcmVyQOgHUhkKDChOIG9yZGVyX2lkKRABGQAAAAAAAPD_'],25/Mar/2013:08:57:52,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=150660'/ 'party_size=2'],25/Mar/2013:08:57:58,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=84838'/ 'party_size=2'],25/Mar/2013:08:58:04,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=158434'/ 'party_size=2'],25/Mar/2013:08:58:09,GET,200
Refresh/Home Screen,/api/vendors/search,['lat=12.933243'/ 'lon=77.623521'/ 'category='/ 'time=09:14'/ 'radius='/ 'party_size=2'/ 'next=False:CpMECokBCnwA_z--ln9swnxAw__-9whJU4H__1NljIGXnpiYk5rSj42Qm_8AdG2goJmLjKCg_wBdno-PmpGYlpGa_wBzdG2WkZuah_8AXYmakZuQjaCMmp6NnJeglpGbmof_AHN0bZuQnKCWm_8AXc7OysjLxv8Ac3_OzsrIy8b_AP_-EBQhZDNs3zvUke0SDURvY3VtZW50SW5kZXgaygEoQU5EIChJUyAiY3VzdG9tZXJfbmFtZSIgImFwcGVuZ2luZSIpIChJUyAiZ3JvdXBfbmFtZSIgInN-aGFnZ2xlLXByb2QiKSAoSVMgIm5hbWVzcGFjZSIgIiIpIChJUyAiaW5kZXhfbmFtZSIgInZlbmRvcl9zZWFyY2hfaW5kZXgiKSAoQU5EIChRVFAgIjBfOS41IiAicnRleHRfb3Blbl9ob3VycyIpIChJUyAicmF0b21fcmVnaXN0ZXJlZCIgInRydWUiKSkpOnAKYyhBREQgKEdFT19ESVNUIChMIHNnZW9fbG9jYXRpb24pIChMT0MgMTIuOTMzMjQzIDc3LjYyMzUyMSkpIChNVUwgKFNVQiAzIChOIHNuYnJfdXNlcl9yYXRpbmcpKSAyNTApKRAAGQAAAAAAAAAAShwIAToVc3Q6YnRpX2dlbmVyaWNfc2NvcmVyQOgHUhkKDChOIG9yZGVyX2lkKRABGQAAAAAAAPD_'],25/Mar/2013:08:59:06,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=151477'/ 'party_size=2'],25/Mar/2013:08:59:11,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=151477'/ 'party_size=2'],25/Mar/2013:08:59:25,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=156411'/ 'party_size=2'],25/Mar/2013:08:59:34,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=156411'/ 'party_size=2'],25/Mar/2013:08:59:50,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=156411'/ 'party_size=2'],25/Mar/2013:08:59:58,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=181045'/ 'party_size=2'],25/Mar/2013:09:01:23,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=181045'/ 'party_size=2'],25/Mar/2013:09:01:29,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=181045'/ 'party_size=2'],25/Mar/2013:09:01:32,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:09:01:37,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],25/Mar/2013:09:01:45,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=105983'/ 'party_size=2'],25/Mar/2013:09:02:00,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=158434'/ 'party_size=2'],25/Mar/2013:09:02:14,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=168031'/ 'party_size=2'],25/Mar/2013:09:02:19,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=150758'/ 'party_size=2'],25/Mar/2013:09:02:36,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=105983'/ 'party_size=2'],25/Mar/2013:09:02:46,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=105983'/ 'party_size=2'],25/Mar/2013:09:02:54,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=150758'/ 'party_size=2'],25/Mar/2013:09:03:03,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=150758'/ 'party_size=2'],25/Mar/2013:09:03:08,GET,200
Score Info,/api/users/me/scores/info,['score_type=4'/ 'vendor=150660'/ 'party_size=2'],25/Mar/2013:09:03:17,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=148325'/ 'party_size=2'],25/Mar/2013:09:03:51,GET,200
