Endpoint,URL,Params,Time,Method,Response
Exposed Data,/users/update_accesstoken,None,26/Mar/2013:11:26:54,POST,200
Exposed Data,/users/update_accesstoken,None,26/Mar/2013:11:27:00,POST,200
Deal Count Badge,/api/haggles,['status=INTERESTED'/ 'status=ACCEPTED'/ 'from=1364270460'/ 'to=1364356740'],26/Mar/2013:11:27:04,GET,200
Refresh/Home Screen,/api/vendors/search,['lat=40.745523'/ 'lon=-73.984868'/ 'category='/ 'time=11:42'/ 'radius='/ 'party_size=2'],26/Mar/2013:11:27:05,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=155385'/ 'party_size=2'],26/Mar/2013:11:31:58,GET,200
Score Info,/api/users/me/scores/info,['score_type=2'/ 'vendor=164178'/ 'party_size=2'],26/Mar/2013:11:32:10,GET,200
Refresh/Home Screen,/api/vendors/search,['lat=40.743790'/ 'lon=-73.983363'/ 'category='/ 'time=11:47'/ 'radius='/ 'party_size=2'],26/Mar/2013:11:32:38,GET,200
Refresh/Home Screen,/api/vendors/search,['lat=40.743790'/ 'lon=-73.983363'/ 'category='/ 'time=11:47'/ 'radius='/ 'party_size=2'],26/Mar/2013:11:32:38,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=388001'/ 'party_size=2'],26/Mar/2013:11:35:23,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=166069'/ 'party_size=2'],26/Mar/2013:11:35:28,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=151477'/ 'party_size=2'],26/Mar/2013:11:35:34,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=174043'/ 'party_size=2'],26/Mar/2013:11:35:39,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=155385'/ 'party_size=2'],26/Mar/2013:11:35:44,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=170066'/ 'party_size=2'],26/Mar/2013:11:35:47,GET,200
Score Info,/api/users/me/scores/info,['score_type=1'/ 'vendor=101847'/ 'party_size=2'],26/Mar/2013:11:36:09,GET,200
Other,/api/vendors/search,None,27/Mar/2013:08:51:41,GET,200
Other Search,/api/vendors/search,['category=Other'],27/Mar/2013:08:51:48,GET,200
Other,/api/vendors/search,None,27/Mar/2013:08:52:09,GET,200
